district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Cibinong,Bogor,-6.4901067,106.8306951,04/03/2024,Rp 749.000.000,96 m²,64 m²,1,3,1,N/A,1,SHM,900 Watt,Unfurnished,2016
Ciampea,Bogor,-6.5549421,106.6961626,26/02/2024,Rp 1.000.000,60 m²,30 m²,1,2,1,1,N/A,HGB,1300 Watt,Unfurnished,2024
Ciampea,Bogor,-6.5549421,106.6961626,26/02/2024,Rp 185.000.000,60 m²,30 m²,1,2,1,1,N/A,HGB,1300 Watt,Unfurnished,2024
Gunung Sindur,Bogor,-6.3847562,106.6804186,26/02/2024,Rp 350.000.000,60 m²,60 m²,1,2,1,N/A,1,SHM,1300 Watt,Unfurnished,1999
Ciampea,Bogor,-6.5549421,106.6961626,26/02/2024,Rp 1.000.000,60 m²,36 m²,1,2,1,1,N/A,HGB,1300 Watt,Unfurnished,2024
Ciawi,Bogor,-6.663033899999999,106.8562067,21/02/2024,Rp 9.000.000.000,2616 m²,900 m²,2,6,5,3,2,SHM,6149 Watt,Full Furnished,N/A
Cibinong,Bogor,-6.4901067,106.8306951,21/02/2024,Rp 895.000.000,64 m²,91 m²,2,4,2,1,N/A,SHM,2200 Watt,Unfurnished,2023
Tanah Sereal,Bogor,-6.5701364,106.78768,21/02/2024,Rp 550.000.000,132 m²,45 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,N/A
Cibinong,Bogor,-6.4901067,106.8306951,21/02/2024,Rp 1.100.000.000,144 m²,150 m²,1,3,2,2,N/A,SHM,1299 Watt,Unfurnished,N/A
Tanah Sereal,Bogor,-6.5701364,106.78768,21/02/2024,Rp 550.000.000,132 m²,45 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,N/A
Bogor Timur,Bogor,-6.617944400000001,106.820343,21/02/2024,Rp 759.000.000,60 m²,66 m²,2,3,2,1,N/A,SHM,2200 Watt,N/A,N/A
Cibinong,Bogor,-6.4901067,106.8306951,21/02/2024,Rp 1.100.000.000,144 m²,150 m²,1,3,2,2,N/A,SHM,1300 Watt,Unfurnished,N/A
Cibinong,Bogor,-6.4901067,106.8306951,21/02/2024,Rp 735.700.000,64 m²,65 m²,2,2,2,N/A,N/A,SHM,2200 Watt,Unfurnished,2024
Bogor Timur,Bogor,-6.617944400000001,106.820343,21/02/2024,Rp 759.000.000,60 m²,66 m²,2,3,2,1,N/A,SHM,2200 Watt,N/A,N/A
Tajur Halang,Bogor,-6.4758182,106.7578498,21/02/2024,Rp 350.000.000,72 m²,36 m²,1,2,1,1,N/A,SHM,1300 Watt,Semi Furnished,N/A
Rumpin,Bogor,-6.3698096,106.6378669,21/02/2024,Rp 500.000.000,50 m²,55 m²,2,3,2,1,1,SHM,2200 Watt,Unfurnished,2023
Tajur Halang,Bogor,-6.4758182,106.7578498,21/02/2024,Rp 400.000.000,72 m²,36 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Cisarua,Bogor,-6.679948899999999,106.9322873,08/05/2024,Rp 1.700.000.000,541 m²,120 m²,1,3,4,N/A,6,SHM,2400 Watt,N/A,N/A
Parung Panjang,Bogor,-6.3584442,106.567352,21/02/2024,Rp 458.343.600,60 m²,31 m²,N/A,2,1,1,N/A,HGB,1300 Watt,Unfurnished,2023
Kemang,Bogor,-6.4857872,106.7362028,21/02/2024,Rp 600.000.000,60 m²,64 m²,2,3,2,1,N/A,SHM,2200 Watt,Semi Furnished,N/A
Kemang,Bogor,-6.4857872,106.7362028,21/02/2024,Rp 600.000.000,60 m²,64 m²,2,3,2,1,N/A,SHM,2199 Watt,Semi Furnished,N/A
Kemang,Bogor,-6.4857872,106.7362028,21/02/2024,Rp 600.000.000,60 m²,66 m²,2,3,2,1,N/A,SHM,2200 Watt,Semi Furnished,N/A
Parung Panjang,Bogor,-6.3560833,106.5800212,21/02/2024,Rp 793.971.000,72 m²,48 m²,N/A,3,1,1,N/A,HGB,1300 Watt,Unfurnished,2023
Kemang,Bogor,-6.4857872,106.7362028,21/02/2024,Rp 600.000.000,60 m²,66 m²,2,3,2,1,N/A,SHM,2200 Watt,Semi Furnished,N/A
Gunung Sindur,Bogor,-6.3847562,106.6804186,29/02/2024,Rp 620.000.000,121 m²,90 m²,1,2,1,1,N/A,PPJB,3500 Watt,Unfurnished,2018
Kemang,Bogor,-6.4857872,106.7362028,21/02/2024,Rp 600.000.000,60 m²,66 m²,2,3,2,1,N/A,SHM,2199 Watt,Semi Furnished,N/A
Ciseeng,Bogor,-6.4416395,106.6952513,29/02/2024,Rp 350.000.000,60 m²,30 m²,1,2,1,1,1,SHM,900 Watt,Unfurnished,2018
Parung Panjang,Bogor,-6.3560833,106.5800212,21/02/2024,Rp 717.140.876,72 m²,39 m²,N/A,2,1,1,N/A,HGB,1300 Watt,Unfurnished,2023
Cibinong,Bogor,-6.5198749,106.8119382,21/02/2024,Rp 700.000.000,60 m²,66 m²,2,3,2,1,N/A,SHM,2200 Watt,Unfurnished,2024
Leuwiliang,Bogor,-6.5741514,106.6320005,21/02/2024,Rp 1.100.000.000,132 m²,270 m²,2,4,3,N/A,2,SHM,1350 Watt,Unfurnished,N/A
Bojong Gede,Bogor,-6.4960615,106.7947017,21/02/2024,Rp 970.000.000,151 m²,120 m²,1,3,2,2,N/A,SHM,1300 Watt,Unfurnished,N/A
Leuwiliang,Bogor,-6.5741514,106.6320005,21/02/2024,Rp 1.100.000.000,132 m²,270 m²,2,4,3,N/A,2,SHM,1350 Watt,Unfurnished,N/A
Bojong Gede,Bogor,-6.4960615,106.7947017,21/02/2024,Rp 970.000.000,151 m²,120 m²,1,3,2,2,N/A,SHM,1300 Watt,Unfurnished,N/A
Cibinong,Bogor,-6.4901067,106.8306951,21/02/2024,Rp 520.000.000,84 m²,36 m²,1,2,1,1,N/A,SHM,1200 Watt,Unfurnished,N/A
Cibinong,Bogor,-6.4901067,106.8306951,21/02/2024,Rp 750.000.000,84 m²,47 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Cibinong,Bogor,-6.4901067,106.8306951,21/02/2024,Rp 750.000.000,84 m²,47 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Bogor Selatan,Bogor,-6.6402182,106.8078394,29/02/2024,Rp 900.000.000,108 m²,134 m²,2,4,3,1,N/A,SHM,2200 Watt,Full Furnished,N/A
Sukaraja,Bogor,-6.5261691,106.8002889,29/02/2024,Rp 650.000.000,72 m²,65 m²,N/A,3,3,2,N/A,SHM,1300 Watt,Full Furnished,N/A
Cibinong,Bogor,-6.4901067,106.8306951,21/02/2024,Rp 520.000.000,84 m²,36 m²,1,2,1,1,N/A,SHM,1200 Watt,Unfurnished,N/A
Ciomas,Bogor,-6.6019425,106.7656825,29/02/2024,Rp 1.400.000.000,1700 m²,100 m²,2,2,1,2,2,AJB,1300 Watt,Full Furnished,N/A
Kemang,Bogor,-6.4857872,106.7362028,29/02/2024,Rp 424.980.000,80 m²,36 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Kemang,Bogor,-6.4857872,106.7362028,29/02/2024,Rp 424.980.000,80 m²,36 m²,1,2,1,2,N/A,SHM,1300 Watt,Semi Furnished,2023
Kemang,Bogor,-6.4857872,106.7362028,29/02/2024,Rp 424.980.000,80 m²,36 m²,1,2,1,2,N/A,SHM,1300 Watt,Semi Furnished,2023
Bogor Barat,Bogor,-6.6096958,106.8148879,21/02/2024,Rp 189.250.000,78 m²,36 m²,1,2,1,1,N/A,SHM,1300 Watt,N/A,N/A
Sukaraja,Bogor,-6.5261691,106.8002889,21/02/2024,Rp 700.000.000,72 m²,50 m²,2,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Sukaraja,Bogor,-6.5261691,106.8002889,21/02/2024,Rp 700.000.000,72 m²,50 m²,2,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Tanah Sereal,Bogor,-6.5701364,106.78768,01/03/2024,Rp 630.000.000,60 m²,72 m²,2,4,2,1,N/A,HGB,2200 Watt,Semi Furnished,2022
Sukaraja,Bogor,-6.6086866,106.8512819,01/03/2024,Rp 325.000.000,72 m²,72 m²,1,2,1,1,1,SHM,900 Watt,N/A,2010
Tanah Sereal,Bogor,-6.5701364,106.78768,02/05/2024,Rp 499.000.000,48 m²,60 m²,2,2,2,1,N/A,SHM,1300 Watt,Unfurnished,2023
Tajur Halang,Bogor,-6.4758182,106.7578498,02/05/2024,Rp 390.000.000,69 m²,33 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bogor Utara,Bogor,-6.529414699999999,106.7957153,20/04/2024,Rp 1.600.000.000,120 m²,200 m²,2,4,2,1,N/A,SHM,2200 Watt,Unfurnished,N/A
Bogor Barat,Bogor,-6.563991,106.7633625,01/03/2024,Rp 1.125.000.000,100 m²,94 m²,2,3,2,1,N/A,SHM,2200 Watt,N/A,N/A
Kemang,Bogor,-6.4857872,106.7362028,15/04/2024,Rp 181.000.000,60 m²,22 m²,1,1,1,1,N/A,HGB,1298 Watt,Unfurnished,2023
Jonggol,Bogor,-6.439727599999999,107.0495018,27/04/2024,Rp 170.000.000,72 m²,21 m²,N/A,1,1,N/A,N/A,HGB,1295 Watt,Unfurnished,2012
Gunung Putri,Bogor,-6.4288646,106.9240554,21/02/2024,Rp 1.200.000.000,171 m²,120 m²,1,3,2,2,N/A,SHM,3500 Watt,Unfurnished,2013
Ciomas,Bogor,-6.6019425,106.7656825,21/02/2024,Rp 2.500.000.000,530 m²,150 m²,1,5,3,3,N/A,SHM,2500 Watt,Unfurnished,1975
Bogor Barat,Bogor,-6.563991,106.7633625,15/03/2024,Rp 520.000.000,50 m²,55 m²,2,3,2,1,1,SHM,2198 Watt,Unfurnished,2023
Leuwiliang,Bogor,-6.5669929,106.6304877,10/05/2024,Rp 1.300.000.000,132 m²,270 m²,2,4,3,1,2,SHM,2195 Watt,Unfurnished,2019
Tenjo,Bogor,-6.3275839,106.4617439,08/04/2024,Rp 750.000.000,893 m²,132 m²,1,4,1,2,N/A,SHM,1300 Watt,Unfurnished,2021
Bogor Barat,Bogor,-6.563991,106.7633625,08/04/2024,Rp 390.000.000,60 m²,50 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2021
Tanah Sereal,Bogor,-6.5701364,106.78768,31/03/2024,Rp 1.298.000.000,90 m²,83 m²,2,3,2,1,1,SHM,2200 Watt,Unfurnished,2021
Bojong Gede,Bogor,-6.4960615,106.7947017,17/04/2024,Rp 325.000.000,48 m²,47 m²,N/A,2,1,1,N/A,SHM,N/A,Unfurnished,2000
Tanah Sereal,Bogor,-6.5701364,106.78768,31/03/2024,Rp 1.105.670.000,147 m²,45 m²,1,2,1,1,1,SHM,2200 Watt,Unfurnished,2023
Tanah Sereal,Bogor,-6.5701364,106.78768,31/03/2024,Rp 1.104.400.000,147 m²,45 m²,1,2,1,1,1,SHM,2200 Watt,Unfurnished,2023
Cijeruk,Bogor,-6.6814912,106.7970599,31/03/2024,Rp 403.300.000,60 m²,27 m²,1,2,1,1,1,SHM,1300 Watt,Unfurnished,2023
Cijeruk,Bogor,-6.6814912,106.7970599,31/03/2024,Rp 403.000.000,60 m²,27 m²,1,2,1,1,1,SHM,1300 Watt,Unfurnished,2022
Bogor Timur,Bogor,-6.617944400000001,106.820343,31/03/2024,Rp 1.056.000.000,147 m²,36 m²,1,2,1,1,1,SHM,2200 Watt,Unfurnished,2023
