district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Kelapa Dua,Tangerang,-6.2542275,106.6293851,05/03/2024,Rp 3.500.000.000,180 m²,168 m²,2,5,4,N/A,N/A,SHM,N/A,Full Furnished,N/A
Pagedangan,Tangerang,-6.2590504,106.6097688,02/06/2024,Rp 11.200.000.000,511 m²,425 m²,2,4,4,1,N/A,SHM,N/A,Semi Furnished,N/A
Kelapa Dua,Tangerang,-6.243365,106.6288533,25/04/2024,Rp 1.550.000.000,153 m²,100 m²,1,3,3,N/A,2,SHM,1300 Watt,N/A,N/A
Kelapa Dua,Tangerang,-6.1059173,106.5617969,21/04/2024,Rp 11.400.000.000,437 m²,550 m²,2,5,4,2,2,PPJB,10000 Watt,Full Furnished,N/A
Kelapa Dua,Tangerang,-6.243365,106.6288533,25/04/2024,Rp 5.200.000.000,240 m²,380 m²,2,6,5,N/A,N/A,SHM,7700 Watt,Full Furnished,N/A
Pagedangan,Tangerang,-6.293577099999999,106.6423214,25/04/2024,Rp 2.350.000.000,112 m²,154 m²,2,4,3,N/A,N/A,SHM,N/A,N/A,N/A
Curug,Tangerang,-6.2540795,106.5609134,05/03/2024,Rp 880.000.000,90 m²,75 m²,1,3,2,N/A,N/A,SHM,N/A,N/A,N/A
Curug,Tangerang,-6.2368549,106.5819194,05/03/2024,Rp 1.900.000.000,150 m²,180 m²,2,5,4,N/A,N/A,HGB,3500 Watt,N/A,N/A
Kelapa Dua,Tangerang,-6.243365,106.6288533,05/03/2024,Rp 1.500.000.000,72 m²,65 m²,2,4,2,1,N/A,SHM,N/A,N/A,N/A
Curug,Tangerang,-6.246004,106.5817415,05/03/2024,Rp 350.000.000,60 m²,21 m²,1,2,1,N/A,N/A,SHM,450 Watt,N/A,N/A
Kelapa Dua,Tangerang,-6.2542275,106.6293851,05/03/2024,Rp 2.600.000.000,136 m²,150 m²,2,4,4,N/A,2,SHM,N/A,Semi Furnished,N/A
Legok,Tangerang,-6.297536699999999,106.5885923,05/03/2024,Rp 1.700.000.000,150 m²,300 m²,2,4,4,N/A,N/A,SHM,N/A,Semi Furnished,N/A
Curug,Tangerang,-6.236506899999999,106.5827865,05/03/2024,Rp 2.000.000.000,148 m²,210 m²,2,5,4,N/A,N/A,SHM,N/A,Unfurnished,N/A
Curug,Tangerang,-6.260586399999999,106.5856342,05/03/2024,Rp 600.000.000,81 m²,60 m²,2,4,2,N/A,N/A,SHM,N/A,N/A,N/A
Kelapa Dua,Tangerang,-6.243365,106.6288533,25/04/2024,Rp 1.100.000.000,100 m²,110 m²,2,3,2,N/A,N/A,SHM,2200 Watt,Semi Furnished,N/A
Legok,Tangerang,-6.2545516,106.5990744,25/04/2024,Rp 1.000.000.000,96 m²,170 m²,1,2,1,N/A,N/A,SHM,N/A,Semi Furnished,N/A
Cisauk,Tangerang,-6.3408595,106.6369178,25/04/2024,Rp 750.000.000,84 m²,45 m²,1,2,1,1,N/A,PPJB,2200 Watt,Unfurnished,N/A
Tangerang,Tangerang,-6.1701796,106.6403236,25/04/2024,Rp 9.000.000.000,788 m²,200 m²,2,6,3,N/A,N/A,SHM,N/A,Unfurnished,N/A
Pagedangan,Tangerang,-6.3147579,106.6476114,02/06/2024,Rp 4.500.000.000,250 m²,175 m²,2,3,3,1,1,PPJB,N/A,Unfurnished,N/A
Karawaci,Tangerang,-6.1855302,106.6131874,25/04/2024,Rp 3.900.000.000,200 m²,210 m²,2,4,3,1,N/A,SHM,N/A,Unfurnished,N/A
Cipondoh,Tangerang,-6.1934271,106.6559444,02/06/2024,Rp 1.550.000.000,120 m²,75 m²,2,2,1,N/A,N/A,SHM,3300 Watt,Unfurnished,N/A
Pagedangan,Tangerang,-6.2989555,106.613862,02/06/2024,Rp 900.000.000,90 m²,80 m²,2,4,4,N/A,N/A,SHM,2200 Watt,Unfurnished,N/A
Kelapa Dua,Tangerang,-6.234411199999999,106.6306487,02/06/2024,Rp 3.550.000.000,300 m²,175 m²,2,3,2,N/A,N/A,SHM,N/A,Unfurnished,N/A
Periuk,Tangerang,-6.169601399999999,106.6008985,25/04/2024,Rp 365.000.000,60 m²,110 m²,1,2,1,N/A,N/A,SHM,1300 Watt,N/A,N/A
Kelapa Dua,Tangerang,-6.1878658,106.6505218,02/06/2024,Rp 1.500.000.000,117 m²,93 m²,2,4,3,1,N/A,SHM,N/A,Unfurnished,N/A
