district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,02/06/2024,Rp 778.000.000,60 m²,80 m²,2,3,2,1,N/A,SHM,2199 Watt,Unfurnished,2023
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,02/06/2024,Rp 475.000.008,60 m²,60 m²,1,2,1,1,N/A,SHM,1298 Watt,Unfurnished,2023
Bekasi Timur Regency,Mustikajaya,-6.296142800000001,107.0214912,02/06/2024,Rp 575.000.008,72 m²,55 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Vida Bumipala,Mustikajaya,-6.3217601,106.9981644,26/05/2024,Rp 550.000.008,52 m²,108 m²,2,2,2,1,N/A,SHM,1300 Watt,Unfurnished,2020
harapan indah,Bekasi Utara,-6.1817524,106.9736839,26/05/2024,Rp 725.000.000,128 m²,110 m²,2,4,2,1,N/A,SHM,1300 Watt,Unfurnished,2024
Vida Bumipala,Mustikajaya,-6.3217601,106.9981644,26/05/2024,Rp 535.000.008,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2020
Setu,Bekasi,-6.3490457,107.0324084,12/05/2024,Rp 460.000.000,96 m²,30 m²,1,2,1,1,1,SHM,1300 Watt,Semi Furnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,12/05/2024,Rp 2.000.000.005,98 m²,196 m²,N/A,4,3,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,12/05/2024,Rp 2.000.000.000,98 m²,196 m²,2,4,3,2,N/A,SHM,4499 Watt,Semi Furnished,N/A
Bekasi Timur,Bekasi,-6.2491162,107.013564,12/05/2024,Rp 535.000.005,60 m²,45 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,12/05/2024,Rp 580.000.005,85 m²,55 m²,N/A,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,12/05/2024,Rp 775.000.005,100 m²,80 m²,N/A,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,12/05/2024,Rp 550.000.002,52 m²,108 m²,2,2,2,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,12/05/2024,Rp 470.000.008,60 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cibitung,Bekasi,-6.251275400000001,107.0874774,12/05/2024,Rp 355.000.005,60 m²,60 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,12/05/2024,Rp 535.000.002,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Bekasi Timur,Bekasi,-6.2491162,107.013564,12/05/2024,Rp 475.000.005,690 m²,60 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,12/05/2024,Rp 580.000.002,85 m²,55 m²,1,3,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Cikarang Pusat,Bekasi,-6.3669752,107.1478351,12/05/2024,Rp 480.000.002,60 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Cikarang Pusat,Bekasi,-6.3669752,107.1478351,12/05/2024,Rp 355.000.002,60 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Bekasi Timur,Bekasi,-6.2491162,107.013564,12/05/2024,Rp 575.000.002,70 m²,50 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Bekasi Timur,Bekasi,-6.2491162,107.013564,12/05/2024,Rp 77,100 m²,80 m²,1,3,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Bekasi Timur,Bekasi,-6.2491162,107.013564,12/05/2024,Rp 460.000.002,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
